kuerzel	KM
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5a L5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	7a L6
häufigkeit1	2
dauer1	1
dauer_anders1	
schreiber1	20
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	8a L6
häufigkeit2	2
dauer2	60
dauer_anders2	
schreiber2	14
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	EF L6-GK
häufigkeit3	1
dauer3	2
dauer_anders3	
schreiber3	15
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 Ge-GK
häufigkeit4	1
dauer4	4
dauer_anders4	
schreiber4	8
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
